"Four-Year Graduation Rates, 2012-13"
"All Districts, Special Education Status"

"",,,"Non-Graduates",,,
"District","Special Education Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Non-Special Education","*","*","*","*","*"
"Amistad Academy District","Special Education","*","*","*","*","*"
"Ansonia School District","Non-Special Education",187,18,9.6,"*","*"
"Ansonia School District","Special Education",25,7,28.0,"*","*"
"Avon School District","Non-Special Education",230,"*","*","*","*"
"Avon School District","Special Education",33,"*","*","*","*"
"Berlin School District","Non-Special Education",238,"*","*","*","*"
"Berlin School District","Special Education",24,"*","*","*","*"
"Bethel School District","Non-Special Education",212,7,3.3,"*","*"
"Bethel School District","Special Education",22,7,31.8,"*","*"
"Bloomfield School District","Non-Special Education",146,"*","*","*","*"
"Bloomfield School District","Special Education",19,"*","*","*","*"
"Bolton School District","Non-Special Education",70,"*","*","*","*"
"Bolton School District","Special Education",11,"*","*","*","*"
"Branford School District","Non-Special Education",238,"*","*","*","*"
"Branford School District","Special Education",33,"*","*","*","*"
"Bridgeport School District","Non-Special Education",1049,98,9.3,214,20.4
"Bridgeport School District","Special Education",180,37,20.6,53,29.4
"Bristol School District","Non-Special Education",534,30,5.6,53,9.9
"Bristol School District","Special Education",101,24,23.8,21,20.8
"Brookfield School District","Non-Special Education",227,"*","*","*","*"
"Brookfield School District","Special Education",15,"*","*","*","*"
"Canton School District","Non-Special Education",106,"*","*","*","*"
"Canton School District","Special Education",18,"*","*","*","*"
"Capitol Region Education Council","Non-Special Education",221,"*","*","*","*"
"Capitol Region Education Council","Special Education",25,"*","*","*","*"
"Cheshire School District","Non-Special Education",326,"*","*","*","*"
"Cheshire School District","Special Education",58,"*","*","*","*"
"Clinton School District","Non-Special Education",121,"*","*","*","*"
"Clinton School District","Special Education",24,"*","*","*","*"
"Colchester School District","Non-Special Education",225,7,3.1,"*","*"
"Colchester School District","Special Education",28,6,21.4,"*","*"
"Common Ground High School District","Non-Special Education","*","*","*","*","*"
"Common Ground High School District","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","Non-Special Education",2273,"*","*","*","*"
"Connecticut Technical High School System","Special Education",210,"*","*","*","*"
"Coventry School District","Non-Special Education",119,"*","*","*","*"
"Coventry School District","Special Education",19,"*","*","*","*"
"Cromwell School District","Non-Special Education",125,"*","*","*","*"
"Cromwell School District","Special Education",20,"*","*","*","*"
"Danbury School District","Non-Special Education",695,69,9.9,77,11.1
"Danbury School District","Special Education",84,32,38.1,13,15.5
"Darien School District","Non-Special Education",277,"*","*","*","*"
"Darien School District","Special Education",39,"*","*","*","*"
"Department of Mental Health and Addiction Services","Non-Special Education","*","*","*","*","*"
"Department of Mental Health and Addiction Services","Special Education","*","*","*","*","*"
"Derby School District","Non-Special Education",80,14,17.5,"*","*"
"Derby School District","Special Education",11,6,54.5,"*","*"
"East Granby School District","Non-Special Education",62,"*","*","*","*"
"East Granby School District","Special Education",9,"*","*","*","*"
"East Haddam School District","Non-Special Education",85,"*","*","*","*"
"East Haddam School District","Special Education",15,"*","*","*","*"
"East Hampton School District","Non-Special Education",120,"*","*","*","*"
"East Hampton School District","Special Education",12,"*","*","*","*"
"East Hartford School District","Non-Special Education",468,28,6.0,58,12.4
"East Hartford School District","Special Education",88,17,19.3,20,22.7
"East Haven School District","Non-Special Education",215,"*","*",34,15.8
"East Haven School District","Special Education",31,"*","*",11,35.5
"East Lyme School District","Non-Special Education",262,"*","*","*","*"
"East Lyme School District","Special Education",49,"*","*","*","*"
"East Windsor School District","Non-Special Education",76,"*","*","*","*"
