"Four-Year Graduation Rates, 2017-18"
"All Districts, Special Education Status"

"",,,,"Non-Graduates",,,
"District","District Code","Special Education Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Achievement First Bridgeport Academy District","=""2850013""","Non-Special Education","*","*","*","*","*"
"Achievement First Bridgeport Academy District","=""2850013""","Special Education","*","*","*","*","*"
"Achievement First Hartford Academy District","=""2880013""","Non-Special Education","*","*","*","*","*"
"Achievement First Hartford Academy District","=""2880013""","Special Education","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Non-Special Education","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Special Education","*","*","*","*","*"
"Ansonia School District","=""0020011""","Non-Special Education",128,"*","*","*","*"
"Ansonia School District","=""0020011""","Special Education",41,"*","*","*","*"
"Avon School District","=""0040011""","Non-Special Education",256,"*","*","*","*"
"Avon School District","=""0040011""","Special Education",26,"*","*","*","*"
"Berlin School District","=""0070011""","Non-Special Education",189,"*","*","*","*"
"Berlin School District","=""0070011""","Special Education",27,"*","*","*","*"
"Bethel School District","=""0090011""","Non-Special Education",181,"*","*","*","*"
"Bethel School District","=""0090011""","Special Education",22,"*","*","*","*"
"Bloomfield School District","=""0110011""","Non-Special Education",149,"*","*","*","*"
"Bloomfield School District","=""0110011""","Special Education",19,"*","*","*","*"
"Bolton School District","=""0120011""","Non-Special Education",71,0,0.0,0,0.0
"Bolton School District","=""0120011""","Special Education",9,"*","*",0,"*"
"Branford School District","=""0140011""","Non-Special Education",187,"*","*","*","*"
"Branford School District","=""0140011""","Special Education",40,"*","*",0,0.0
"Bridgeport School District","=""0150011""","Non-Special Education",1186,58,4.9,186,15.7
"Bridgeport School District","=""0150011""","Special Education",260,57,21.9,59,22.7
"Bristol School District","=""0170011""","Non-Special Education",477,11,2.3,29,6.1
"Bristol School District","=""0170011""","Special Education",123,26,21.1,15,12.2
"Brookfield School District","=""0180011""","Non-Special Education",188,"*","*","*","*"
"Brookfield School District","=""0180011""","Special Education",24,"*","*","*","*"
"Canton School District","=""0230011""","Non-Special Education",99,"*","*","*","*"
"Canton School District","=""0230011""","Special Education",17,0,"*","*","*"
"Capital Preparatory Harbor School District","=""2970013""","Non-Special Education","*","*","*","*","*"
"Capital Preparatory Harbor School District","=""2970013""","Special Education","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Non-Special Education",461,8,1.7,"*","*"
"Capitol Region Education Council","=""2410014""","Special Education",73,6,8.2,"*","*"
"Cheshire School District","=""0250011""","Non-Special Education",301,0,0.0,"*","*"
"Cheshire School District","=""0250011""","Special Education",50,14,28.0,"*","*"
"Clinton School District","=""0270011""","Non-Special Education",124,0,0.0,"*","*"
"Clinton School District","=""0270011""","Special Education",8,"*","*","*","*"
"Colchester School District","=""0280011""","Non-Special Education",194,"*","*","*","*"
"Colchester School District","=""0280011""","Special Education",28,"*","*",0,0.0
"Common Ground High School District","=""2680013""","Non-Special Education",31,"*","*",0,0.0
"Common Ground High School District","=""2680013""","Special Education",6,"*","*",0,"*"
"Connecticut Technical Education and Career System","=""9000016""","Non-Special Education",2252,"*","*",51,2.3
"Connecticut Technical Education and Career System","=""9000016""","Special Education",170,"*","*",8,4.7
"Coventry School District","=""0320011""","Non-Special Education",100,"*","*","*","*"
"Coventry School District","=""0320011""","Special Education",23,"*","*","*","*"
"Cromwell School District","=""0330011""","Non-Special Education",141,0,0.0,"*","*"
"Cromwell School District","=""0330011""","Special Education",12,0,"*","*","*"
"Danbury School District","=""0340011""","Non-Special Education",695,45,6.5,72,10.4
"Danbury School District","=""0340011""","Special Education",86,22,25.6,10,11.6
"Darien School District","=""0350011""","Non-Special Education",289,"*","*","*","*"
"Darien School District","=""0350011""","Special Education",55,"*","*",0,0.0
"Department of Mental Health and Addiction Services","=""3370015""","Special Education","*","*","*","*","*"
"Derby School District","=""0370011""","Non-Special Education",88,7,8.0,"*","*"
"Derby School District","=""0370011""","Special Education",13,0,"*","*","*"
"East Granby School District","=""0400011""","Non-Special Education","*","*","*","*","*"
"East Granby School District","=""0400011""","Special Education","*","*","*","*","*"
"East Haddam School District","=""0410011""","Non-Special Education",75,"*","*","*","*"
"East Haddam School District","=""0410011""","Special Education",9,0,"*","*","*"
"East Hampton School District","=""0420011""","Non-Special Education",103,0,0.0,"*","*"
"East Hampton School District","=""0420011""","Special Education",10,"*","*",0,"*"
"East Hartford School District","=""0430011""","Non-Special Education",431,14,3.2,15,3.5
"East Hartford School District","=""0430011""","Special Education",78,19,24.4,12,15.4
"East Haven School District","=""0440011""","Non-Special Education",224,9,4.0,"*","*"
"East Haven School District","=""0440011""","Special Education",24,6,25.0,"*","*"
"East Lyme School District","=""0450011""","Non-Special Education",253,"*","*","*","*"
"East Lyme School District","=""0450011""","Special Education",34,"*","*","*","*"
"East Windsor School District","=""0470011""","Non-Special Education",74,0,0.0,"*","*"
"East Windsor School District","=""0470011""","Special Education",21,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-Special Education",72,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Special Education",12,"*","*","*","*"
"Ellington School District","=""0480011""","Non-Special Education",162,"*","*",0,0.0
"Ellington School District","=""0480011""","Special Education",19,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Non-Special Education","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Special Education","*","*","*","*","*"
"Enfield School District","=""0490011""","Non-Special Education",355,8,2.3,"*","*"
"Enfield School District","=""0490011""","Special Education",49,13,26.5,"*","*"
"Explorations District","=""2720013""","Non-Special Education",15,0,"*","*","*"
"Explorations District","=""2720013""","Special Education",13,0,"*","*","*"
"Fairfield School District","=""0510011""","Non-Special Education",681,"*","*","*","*"
"Fairfield School District","=""0510011""","Special Education",106,"*","*","*","*"
"Farmington School District","=""0520011""","Non-Special Education",260,"*","*","*","*"
"Farmington School District","=""0520011""","Special Education",37,"*","*","*","*"
"Glastonbury School District","=""0540011""","Non-Special Education",443,"*","*",0,0.0
"Glastonbury School District","=""0540011""","Special Education",53,"*","*","*","*"
