"Four-Year Graduation Rates, 2013-14"
"All Districts, Special Education Status"

"",,,"Graduates",
"District","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Non-Special Education","*","*","*"
"Amistad Academy District","Special Education","*","*","*"
"Ansonia School District","Non-Special Education",140,111,79.3
"Ansonia School District","Special Education",17,9,52.9
"Avon School District","Non-Special Education",244,242,99.2
"Avon School District","Special Education",28,23,82.1
"Berlin School District","Non-Special Education",202,198,98.0
"Berlin School District","Special Education",33,25,75.8
"Bethel School District","Non-Special Education",213,201,94.4
"Bethel School District","Special Education",31,25,80.6
"Bloomfield School District","Non-Special Education",148,136,91.9
"Bloomfield School District","Special Education",21,12,57.1
"Bolton School District","Non-Special Education",94,"*","*"
"Bolton School District","Special Education",9,"*","*"
"Branford School District","Non-Special Education",253,236,93.3
"Branford School District","Special Education",46,36,78.3
"Bridgeport School District","Non-Special Education",1075,805,74.9
"Bridgeport School District","Special Education",172,87,50.6
"Bristol School District","Non-Special Education",577,491,85.1
"Bristol School District","Special Education",122,81,66.4
"Brookfield School District","Non-Special Education",210,206,98.1
"Brookfield School District","Special Education",22,19,86.4
"Canton School District","Non-Special Education",118,115,97.5
"Canton School District","Special Education",18,13,72.2
"Capitol Region Education Council","Non-Special Education",293,262,89.4
"Capitol Region Education Council","Special Education",24,19,79.2
"Cheshire School District","Non-Special Education",334,332,99.4
"Cheshire School District","Special Education",55,39,70.9
"Clinton School District","Non-Special Education",120,115,95.8
"Clinton School District","Special Education",13,8,61.5
"Colchester School District","Non-Special Education",220,215,97.7
"Colchester School District","Special Education",28,22,78.6
"Common Ground High School District","Non-Special Education","*","*","*"
"Common Ground High School District","Special Education","*","*","*"
"Connecticut Technical High School System","Non-Special Education",2242,2157,96.2
"Connecticut Technical High School System","Special Education",181,172,95.0
"Coventry School District","Non-Special Education",110,109,99.1
"Coventry School District","Special Education",23,19,82.6
"Cromwell School District","Non-Special Education",123,"*","*"
"Cromwell School District","Special Education",11,"*","*"
"Danbury School District","Non-Special Education",675,554,82.1
"Danbury School District","Special Education",86,40,46.5
"Darien School District","Non-Special Education",278,275,98.9
"Darien School District","Special Education",58,50,86.2
"Department of Mental Health and Addiction Services","Special Education","*","*","*"
"Derby School District","Non-Special Education",87,74,85.1
"Derby School District","Special Education",15,9,60.0
"East Granby School District","Non-Special Education","*","*","*"
"East Granby School District","Special Education","*","*","*"
"East Haddam School District","Non-Special Education",87,85,97.7
"East Haddam School District","Special Education",18,13,72.2
"East Hampton School District","Non-Special Education",114,"*","*"
"East Hampton School District","Special Education",7,"*","*"
"East Hartford School District","Non-Special Education",419,341,81.4
"East Hartford School District","Special Education",88,56,63.6
"East Haven School District","Non-Special Education",223,188,84.3
"East Haven School District","Special Education",37,22,59.5
"East Lyme School District","Non-Special Education",237,232,97.9
"East Lyme School District","Special Education",37,24,64.9
"East Windsor School District","Non-Special Education",92,83,90.2
"East Windsor School District","Special Education",17,14,82.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-Special Education",57,42,73.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Special Education",9,7,77.8
"Ellington School District","Non-Special Education",172,167,97.1
"Ellington School District","Special Education",22,18,81.8
"Elm City College Preparatory School District","Non-Special Education","*","*","*"
"Elm City College Preparatory School District","Special Education","*","*","*"
"Enfield School District","Non-Special Education",364,324,89.0
"Enfield School District","Special Education",60,42,70.0
"Explorations District","Non-Special Education",18,11,61.1
"Explorations District","Special Education",9,7,77.8
"Fairfield School District","Non-Special Education",647,627,96.9
"Fairfield School District","Special Education",81,56,69.1
"Farmington School District","Non-Special Education",300,297,99.0
"Farmington School District","Special Education",44,31,70.5
"Glastonbury School District","Non-Special Education",516,510,98.8
"Glastonbury School District","Special Education",69,52,75.4
"Granby School District","Non-Special Education",180,176,97.8
"Granby School District","Special Education",25,18,72.0
"Greenwich School District","Non-Special Education",585,564,96.4
"Greenwich School District","Special Education",85,73,85.9
"Griswold School District","Non-Special Education",140,126,90.0
"Griswold School District","Special Education",30,18,60.0
"Groton School District","Non-Special Education",275,240,87.3
"Groton School District","Special Education",42,29,69.0
"Guilford School District","Non-Special Education",253,246,97.2
"Guilford School District","Special Education",33,19,57.6
"Hamden School District","Non-Special Education",394,370,93.9
"Hamden School District","Special Education",64,38,59.4
"Hartford School District","Non-Special Education",1129,854,75.6
"Hartford School District","Special Education",241,126,52.3
"Killingly School District","Non-Special Education",185,154,83.2
"Killingly School District","Special Education",33,22,66.7
"Learn","Non-Special Education",139,130,93.5
"Learn","Special Education",14,11,78.6
"Lebanon School District","Non-Special Education",95,91,95.8
"Lebanon School District","Special Education",10,7,70.0
"Ledyard School District","Non-Special Education",204,196,96.1
"Ledyard School District","Special Education",43,28,65.1
"Lisbon School District","Non-Special Education","*","*","*"
