"Four-Year Graduation Rates, 2010-11"
"All Districts, Special Education Status"

"",,,"Non-Graduates",,,
"District","Special Education Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Non-Special Education",29,"*","*","*","*"
"Ansonia School District","Non-Special Education",166,15,9.0,"*","*"
"Ansonia School District","Special Education",22,8,36.4,"*","*"
"Avon School District","Non-Special Education",229,"*","*","*","*"
"Avon School District","Special Education",25,"*","*","*","*"
"Berlin School District","Non-Special Education",232,"*","*","*","*"
"Berlin School District","Special Education",29,"*","*","*","*"
"Bethel School District","Non-Special Education",222,"*","*","*","*"
"Bethel School District","Special Education",28,"*","*","*","*"
"Bloomfield School District","Non-Special Education",159,15,9.4,"*","*"
"Bloomfield School District","Special Education",28,12,42.9,"*","*"
"Bolton School District","Non-Special Education","*","*","*","*","*"
"Bolton School District","Special Education","*","*","*","*","*"
"Branford School District","Non-Special Education",248,"*","*","*","*"
"Branford School District","Special Education",36,"*","*","*","*"
"Bridgeport School District","Non-Special Education",1253,138,11.0,313,25.0
"Bridgeport School District","Special Education",184,51,27.7,66,35.9
"Bristol School District","Non-Special Education",631,48,7.6,86,13.6
"Bristol School District","Special Education",78,20,25.6,11,14.1
"Brookfield School District","Non-Special Education",253,"*","*","*","*"
"Brookfield School District","Special Education",12,"*","*","*","*"
"Canton School District","Non-Special Education",103,"*","*","*","*"
"Canton School District","Special Education",17,"*","*","*","*"
"Capitol Region Education Council","Non-Special Education",277,10,3.6,"*","*"
"Capitol Region Education Council","Special Education",22,6,27.3,"*","*"
"Cheshire School District","Non-Special Education",334,"*","*","*","*"
"Cheshire School District","Special Education",41,"*","*","*","*"
"Clinton School District","Non-Special Education",126,"*","*","*","*"
"Clinton School District","Special Education",19,"*","*","*","*"
"Colchester School District","Non-Special Education",224,"*","*","*","*"
"Colchester School District","Special Education",26,"*","*","*","*"
"Common Ground High School District","Non-Special Education",30,"*","*","*","*"
"Common Ground High School District","Special Education",8,"*","*","*","*"
"Connecticut Technical High School System","Non-Special Education",2159,"*","*",133,6.2
"Connecticut Technical High School System","Special Education",184,"*","*",9,4.9
"Coventry School District","Non-Special Education",133,"*","*","*","*"
"Coventry School District","Special Education",20,"*","*","*","*"
"Cromwell School District","Non-Special Education",147,"*","*","*","*"
"Cromwell School District","Special Education",23,"*","*","*","*"
"Danbury School District","Non-Special Education",682,55,8.1,86,12.6
"Danbury School District","Special Education",76,20,26.3,12,15.8
"Darien School District","Non-Special Education",291,"*","*","*","*"
"Darien School District","Special Education",36,"*","*","*","*"
"Derby School District","Non-Special Education",116,"*","*","*","*"
"Derby School District","Special Education",9,"*","*","*","*"
"East Granby School District","Non-Special Education",69,"*","*","*","*"
"East Granby School District","Special Education",7,"*","*","*","*"
