"Four-Year Graduation Rates, 2011-12"
"All Districts, Special Education Status"

"",,,"Graduates",
"District","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Non-Special Education",21,15,71.4
"Ansonia School District","Non-Special Education",180,140,77.8
"Ansonia School District","Special Education",25,16,64.0
"Avon School District","Non-Special Education",248,243,98.0
"Avon School District","Special Education",37,31,83.8
"Berlin School District","Non-Special Education",223,216,96.9
"Berlin School District","Special Education",40,33,82.5
"Bethel School District","Non-Special Education",210,204,97.1
"Bethel School District","Special Education",29,21,72.4
"Bloomfield School District","Non-Special Education",168,135,80.4
"Bloomfield School District","Special Education",28,18,64.3
"Bolton School District","Non-Special Education",64,"*","*"
"Bolton School District","Special Education",9,"*","*"
"Branford School District","Non-Special Education",224,214,95.5
"Branford School District","Special Education",34,26,76.5
"Bridgeport School District","Non-Special Education",1089,757,69.5
"Bridgeport School District","Special Education",184,87,47.3
"Bristol School District","Non-Special Education",538,473,87.9
"Bristol School District","Special Education",93,64,68.8
"Brookfield School District","Non-Special Education",235,232,98.7
"Brookfield School District","Special Education",19,15,78.9
"Canton School District","Non-Special Education",107,105,98.1
"Canton School District","Special Education",12,11,91.7
"Capitol Region Education Council","Non-Special Education",274,233,85.0
"Capitol Region Education Council","Special Education",61,33,54.1
"Cheshire School District","Non-Special Education",362,358,98.9
"Cheshire School District","Special Education",49,36,73.5
"Clinton School District","Non-Special Education",102,97,95.1
"Clinton School District","Special Education",21,17,81.0
"Colchester School District","Non-Special Education",218,212,97.2
"Colchester School District","Special Education",28,21,75.0
"Common Ground High School District","Non-Special Education","*","*","*"
"Common Ground High School District","Special Education","*","*","*"
"Connecticut Technical High School System","Non-Special Education",2309,2213,95.8
"Connecticut Technical High School System","Special Education",222,215,96.8
"Coventry School District","Non-Special Education",128,112,87.5
"Coventry School District","Special Education",25,20,80.0
"Cromwell School District","Non-Special Education",130,127,97.7
"Cromwell School District","Special Education",22,12,54.5
"Danbury School District","Non-Special Education",676,539,79.7
"Danbury School District","Special Education",81,42,51.9
"Darien School District","Non-Special Education",268,261,97.4
"Darien School District","Special Education",43,39,90.7
"Derby School District","Non-Special Education",95,"*","*"
"Derby School District","Special Education",11,"*","*"
"East Granby School District","Non-Special Education",52,50,96.2
"East Granby School District","Special Education",9,8,88.9
"East Haddam School District","Non-Special Education",91,85,93.4
"East Haddam School District","Special Education",11,9,81.8
"East Hampton School District","Non-Special Education",154,150,97.4
"East Hampton School District","Special Education",11,6,54.5
"East Hartford School District","Non-Special Education",487,395,81.1
"East Hartford School District","Special Education",104,58,55.8
"East Haven School District","Non-Special Education",194,149,76.8
"East Haven School District","Special Education",36,17,47.2
"East Lyme School District","Non-Special Education",251,243,96.8
"East Lyme School District","Special Education",52,43,82.7
"East Windsor School District","Non-Special Education",77,69,89.6
"East Windsor School District","Special Education",12,8,66.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-Special Education",65,52,80.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Special Education",21,16,76.2
"Ellington School District","Non-Special Education",181,170,93.9
"Ellington School District","Special Education",22,13,59.1
"Elm City College Preparatory School District","Non-Special Education","*","*","*"
"Elm City College Preparatory School District","Special Education","*","*","*"
"Enfield School District","Non-Special Education",426,384,90.1
"Enfield School District","Special Education",86,52,60.5
"Explorations District","Non-Special Education",20,"*","*"
"Explorations District","Special Education",8,"*","*"
"Fairfield School District","Non-Special Education",597,573,96.0
"Fairfield School District","Special Education",93,77,82.8
"Farmington School District","Non-Special Education",274,267,97.4
"Farmington School District","Special Education",30,19,63.3
"Glastonbury School District","Non-Special Education",453,447,98.7
"Glastonbury School District","Special Education",59,44,74.6
"Granby School District","Non-Special Education",167,164,98.2
"Granby School District","Special Education",22,20,90.9
"Greenwich School District","Non-Special Education",551,518,94.0
"Greenwich School District","Special Education",95,78,82.1
"Griswold School District","Non-Special Education",157,140,89.2
"Griswold School District","Special Education",27,21,77.8
"Groton School District","Non-Special Education",303,259,85.5
"Groton School District","Special Education",42,23,54.8
"Guilford School District","Non-Special Education",251,250,99.6
"Guilford School District","Special Education",36,30,83.3
"Hamden School District","Non-Special Education",435,384,88.3
"Hamden School District","Special Education",88,57,64.8
