"Four-Year Graduation Rates, 2015-16"
"All Districts, Special Education Status"

"",,,,"Graduates",
"District","District Code","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Achievement First Hartford Academy Inc. District","=""2880013""","Non-Special Education","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Special Education","*","*","*"
"Amistad Academy District","=""2790013""","Non-Special Education",30,27,90.0
"Amistad Academy District","=""2790013""","Special Education","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","Non-Special Education",122,"*","*"
"Ansonia School District","=""0020011""","Special Education",16,"*","*"
"Avon School District","=""0040011""","Non-Special Education",208,206,99.0
"Avon School District","=""0040011""","Special Education",32,27,84.4
"Berlin School District","=""0070011""","Non-Special Education",221,216,97.7
"Berlin School District","=""0070011""","Special Education",28,20,71.4
"Bethel School District","=""0090011""","Non-Special Education",216,210,97.2
"Bethel School District","=""0090011""","Special Education",35,27,77.1
"Bloomfield School District","=""0110011""","Non-Special Education",135,129,95.6
"Bloomfield School District","=""0110011""","Special Education",21,13,61.9
"Bolton School District","=""0120011""","Non-Special Education",78,"*","*"
"Bolton School District","=""0120011""","Special Education",7,"*","*"
"Branford School District","=""0140011""","Non-Special Education",217,211,97.2
"Branford School District","=""0140011""","Special Education",39,29,74.4
"Bridgeport Achievement First District","=""2850013""","Non-Special Education","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Special Education","*","*","*"
"Bridgeport School District","=""0150011""","Non-Special Education",1139,808,70.9
"Bridgeport School District","=""0150011""","Special Education",248,114,46.0
"Bristol School District","=""0170011""","Non-Special Education",518,450,86.9
"Bristol School District","=""0170011""","Special Education",141,98,69.5
"Brookfield School District","=""0180011""","Non-Special Education",185,"*","*"
"Brookfield School District","=""0180011""","Special Education",30,"*","*"
"Canton School District","=""0230011""","Non-Special Education",87,"*","*"
"Canton School District","=""0230011""","Special Education",19,"*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Non-Special Education","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Special Education","*","*","*"
"Capitol Region Education Council","=""2410014""","Non-Special Education",364,340,93.4
"Capitol Region Education Council","=""2410014""","Special Education",61,53,86.9
"Cheshire School District","=""0250011""","Non-Special Education",316,311,98.4
"Cheshire School District","=""0250011""","Special Education",71,60,84.5
"Clinton School District","=""0270011""","Non-Special Education",124,114,91.9
"Clinton School District","=""0270011""","Special Education",16,9,"*"
"Colchester School District","=""0280011""","Non-Special Education",183,177,96.7
"Colchester School District","=""0280011""","Special Education",31,25,80.6
"Common Ground High School District","=""2680013""","Non-Special Education","*","*","*"
"Common Ground High School District","=""2680013""","Special Education","*","*","*"
"Connecticut Technical High School System","=""9000016""","Non-Special Education",2242,2179,97.2
"Connecticut Technical High School System","=""9000016""","Special Education",229,221,96.5
"Coventry School District","=""0320011""","Non-Special Education",109,102,93.6
"Coventry School District","=""0320011""","Special Education",21,15,71.4
"Cromwell School District","=""0330011""","Non-Special Education",128,"*","*"
"Cromwell School District","=""0330011""","Special Education",15,"*","*"
"Danbury School District","=""0340011""","Non-Special Education",659,536,81.3
"Danbury School District","=""0340011""","Special Education",107,54,50.5
"Darien School District","=""0350011""","Non-Special Education",275,"*","*"
"Darien School District","=""0350011""","Special Education",57,"*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Non-Special Education","N/A","N/A","N/A"
"Department of Mental Health and Addiction Services","=""3370015""","Special Education","*","*","*"
"Derby School District","=""0370011""","Non-Special Education",75,61,81.3
"Derby School District","=""0370011""","Special Education",22,13,59.1
"East Granby School District","=""0400011""","Non-Special Education",62,"*","*"
"East Granby School District","=""0400011""","Special Education",10,"*","*"
"East Haddam School District","=""0410011""","Non-Special Education",64,"*","*"
"East Haddam School District","=""0410011""","Special Education",16,"*","*"
"East Hampton School District","=""0420011""","Non-Special Education",140,"*","*"
"East Hampton School District","=""0420011""","Special Education",11,"*","*"
"East Hartford School District","=""0430011""","Non-Special Education",452,415,91.8
"East Hartford School District","=""0430011""","Special Education",91,66,72.5
"East Haven School District","=""0440011""","Non-Special Education",199,158,79.4
"East Haven School District","=""0440011""","Special Education",41,19,46.3
"East Lyme School District","=""0450011""","Non-Special Education",224,218,97.3
"East Lyme School District","=""0450011""","Special Education",35,23,65.7
"East Windsor School District","=""0470011""","Non-Special Education",62,"*","*"
"East Windsor School District","=""0470011""","Special Education",16,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-Special Education",66,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Special Education",7,"*","*"
"Ellington School District","=""0480011""","Non-Special Education",165,"*","*"
"Ellington School District","=""0480011""","Special Education",22,"*","*"
"Elm City College Preparatory School District","=""2890013""","Non-Special Education","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Special Education","*","*","*"
"Enfield School District","=""0490011""","Non-Special Education",367,327,89.1
"Enfield School District","=""0490011""","Special Education",80,51,63.8
"Explorations District","=""2720013""","Non-Special Education",19,"*","*"
"Explorations District","=""2720013""","Special Education",8,"*","*"
"Fairfield School District","=""0510011""","Non-Special Education",658,645,98.0
"Fairfield School District","=""0510011""","Special Education",102,74,72.5
"Farmington School District","=""0520011""","Non-Special Education",291,285,97.9
"Farmington School District","=""0520011""","Special Education",47,38,80.9
"Glastonbury School District","=""0540011""","Non-Special Education",471,470,99.8
"Glastonbury School District","=""0540011""","Special Education",66,51,77.3
"Granby School District","=""0560011""","Non-Special Education",170,"*","*"
