"Four-Year Graduation Rates, 2014-15"
"All Districts, Special Education Status"

"",,,"Graduates",,"Non-Graduates",,,
"District","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Non-Special Education","*","*","*","*","*","*","*"
"Amistad Academy District","Special Education","*","*","*","*","*","*","*"
"Ansonia School District","Non-Special Education",151,130,86.1,"*","*","*","*"
"Ansonia School District","Special Education",21,14,66.7,"*","*","*","*"
"Avon School District","Non-Special Education",215,211,98.1,"*","*","*","*"
"Avon School District","Special Education",33,27,81.8,"*","*","*","*"
"Berlin School District","Non-Special Education",178,172,96.6,"*","*","*","*"
"Berlin School District","Special Education",32,25,78.1,"*","*","*","*"
"Bethel School District","Non-Special Education",186,181,97.3,"*","*","*","*"
"Bethel School District","Special Education",32,28,87.5,"*","*","*","*"
"Bloomfield School District","Non-Special Education",146,137,93.8,"*","*","*","*"
"Bloomfield School District","Special Education",30,17,56.7,"*","*","*","*"
"Bolton School District","Non-Special Education",65,65,100.0,"*","*","*","*"
"Bolton School District","Special Education",11,8,72.7,"*","*","*","*"
"Branford School District","Non-Special Education",220,208,94.5,"*","*","*","*"
"Branford School District","Special Education",33,20,60.6,"*","*","*","*"
"Bridgeport Achievement First District","Non-Special Education","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","Special Education","*","*","*","*","*","*","*"
"Bridgeport School District","Non-Special Education",988,658,66.6,82,8.3,248,25.1
"Bridgeport School District","Special Education",200,97,48.5,58,29.0,45,22.5
"Bristol School District","Non-Special Education",545,465,85.3,21,3.9,59,10.8
"Bristol School District","Special Education",102,61,59.8,19,18.6,22,21.6
"Brookfield School District","Non-Special Education",208,203,97.6,"*","*","*","*"
"Brookfield School District","Special Education",27,21,77.8,"*","*","*","*"
"Canton School District","Non-Special Education",116,114,98.3,"*","*","*","*"
"Canton School District","Special Education",16,12,75.0,"*","*","*","*"
"Capitol Region Education Council","Non-Special Education",292,270,92.5,"*","*","*","*"
"Capitol Region Education Council","Special Education",31,22,71.0,"*","*","*","*"
"Cheshire School District","Non-Special Education",347,347,100.0,"*","*","*","*"
"Cheshire School District","Special Education",45,34,75.6,"*","*","*","*"
"Clinton School District","Non-Special Education",141,131,92.9,"*","*","*","*"
"Clinton School District","Special Education",21,15,71.4,"*","*","*","*"
"Colchester School District","Non-Special Education",197,184,93.4,"*","*","*","*"
"Colchester School District","Special Education",31,26,83.9,"*","*","*","*"
"Common Ground High School District","Non-Special Education","*","*","*","*","*","*","*"
"Common Ground High School District","Special Education","*","*","*","*","*","*","*"
"Connecticut Technical High School System","Non-Special Education",2227,2174,97.6,"*","*",49,2.2
"Connecticut Technical High School System","Special Education",241,230,95.4,"*","*",6,2.5
"Coventry School District","Non-Special Education",98,97,99.0,"*","*","*","*"
"Coventry School District","Special Education",19,12,63.2,"*","*","*","*"
"Cromwell School District","Non-Special Education",108,106,98.1,"*","*","*","*"
"Cromwell School District","Special Education",20,17,85.0,"*","*","*","*"
"Danbury School District","Non-Special Education",688,540,78.5,61,8.9,87,12.6
"Danbury School District","Special Education",84,55,65.5,19,22.6,10,11.9
