"Four-Year Graduation Rates, 2011-12"
"All Districts, Special Education Status"

"",,,"Non-Graduates",,,
"District","Special Education Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Non-Special Education",21,"*","*","*","*"
"Ansonia School District","Non-Special Education",180,"*","*",30,16.7
"Ansonia School District","Special Education",25,"*","*",7,28.0
"Avon School District","Non-Special Education",248,"*","*","*","*"
"Avon School District","Special Education",37,"*","*","*","*"
"Berlin School District","Non-Special Education",223,"*","*","*","*"
"Berlin School District","Special Education",40,"*","*","*","*"
"Bethel School District","Non-Special Education",210,"*","*","*","*"
"Bethel School District","Special Education",29,"*","*","*","*"
"Bloomfield School District","Non-Special Education",168,21,12.5,"*","*"
"Bloomfield School District","Special Education",28,8,28.6,"*","*"
"Bolton School District","Non-Special Education",64,"*","*","*","*"
"Bolton School District","Special Education",9,"*","*","*","*"
"Branford School District","Non-Special Education",224,"*","*","*","*"
"Branford School District","Special Education",34,"*","*","*","*"
"Bridgeport School District","Non-Special Education",1089,74,6.8,258,23.7
"Bridgeport School District","Special Education",184,44,23.9,52,28.3
"Bristol School District","Non-Special Education",538,22,4.1,43,8.0
"Bristol School District","Special Education",93,19,20.4,10,10.8
"Brookfield School District","Non-Special Education",235,"*","*","*","*"
"Brookfield School District","Special Education",19,"*","*","*","*"
"Canton School District","Non-Special Education",107,"*","*","*","*"
"Canton School District","Special Education",12,"*","*","*","*"
"Capitol Region Education Council","Non-Special Education",274,"*","*",38,13.9
"Capitol Region Education Council","Special Education",61,"*","*",10,16.4
"Cheshire School District","Non-Special Education",362,"*","*","*","*"
"Cheshire School District","Special Education",49,"*","*","*","*"
"Clinton School District","Non-Special Education",102,"*","*","*","*"
"Clinton School District","Special Education",21,"*","*","*","*"
"Colchester School District","Non-Special Education",218,"*","*","*","*"
"Colchester School District","Special Education",28,"*","*","*","*"
"Common Ground High School District","Non-Special Education","*","*","*","*","*"
"Common Ground High School District","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","Non-Special Education",2309,"*","*",90,3.9
"Connecticut Technical High School System","Special Education",222,"*","*",6,2.7
"Coventry School District","Non-Special Education",128,"*","*","*","*"
"Coventry School District","Special Education",25,"*","*","*","*"
"Cromwell School District","Non-Special Education",130,"*","*","*","*"
"Cromwell School District","Special Education",22,"*","*","*","*"
"Danbury School District","Non-Special Education",676,63,9.3,74,10.9
"Danbury School District","Special Education",81,29,35.8,10,12.3
"Darien School District","Non-Special Education",268,"*","*","*","*"
"Darien School District","Special Education",43,"*","*","*","*"
"Derby School District","Non-Special Education",95,"*","*","*","*"
"Derby School District","Special Education",11,"*","*","*","*"
"East Granby School District","Non-Special Education",52,"*","*","*","*"
"East Granby School District","Special Education",9,"*","*","*","*"
"East Haddam School District","Non-Special Education",91,"*","*","*","*"
"East Haddam School District","Special Education",11,"*","*","*","*"
"East Hampton School District","Non-Special Education",154,"*","*","*","*"
"East Hampton School District","Special Education",11,"*","*","*","*"
"East Hartford School District","Non-Special Education",487,28,5.7,64,13.1
"East Hartford School District","Special Education",104,29,27.9,17,16.3
"East Haven School District","Non-Special Education",194,11,5.7,34,17.5
"East Haven School District","Special Education",36,8,22.2,11,30.6
"East Lyme School District","Non-Special Education",251,"*","*","*","*"
"East Lyme School District","Special Education",52,"*","*","*","*"
"East Windsor School District","Non-Special Education",77,"*","*","*","*"
"East Windsor School District","Special Education",12,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-Special Education",65,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Special Education",21,"*","*","*","*"
"Ellington School District","Non-Special Education",181,"*","*","*","*"
"Ellington School District","Special Education",22,"*","*","*","*"
"Elm City College Preparatory School District","Non-Special Education","*","*","*","*","*"
"Elm City College Preparatory School District","Special Education","*","*","*","*","*"
"Enfield School District","Non-Special Education",426,12,2.8,30,7.0
