"Four-Year Graduation Rates, 2017-18"
"All Districts, Special Education Status"

"",,,,"Graduates",
"District","District Code","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Achievement First Bridgeport Academy District","=""2850013""","Non-Special Education","*","*","*"
"Achievement First Bridgeport Academy District","=""2850013""","Special Education","*","*","*"
"Achievement First Hartford Academy District","=""2880013""","Non-Special Education","*","*","*"
"Achievement First Hartford Academy District","=""2880013""","Special Education","*","*","*"
"Amistad Academy District","=""2790013""","Non-Special Education","*","*","*"
"Amistad Academy District","=""2790013""","Special Education","*","*","*"
"Ansonia School District","=""0020011""","Non-Special Education",128,116,90.6
"Ansonia School District","=""0020011""","Special Education",41,29,70.7
"Avon School District","=""0040011""","Non-Special Education",256,252,98.4
"Avon School District","=""0040011""","Special Education",26,20,76.9
"Berlin School District","=""0070011""","Non-Special Education",189,184,97.4
"Berlin School District","=""0070011""","Special Education",27,19,70.4
"Bethel School District","=""0090011""","Non-Special Education",181,172,95.0
"Bethel School District","=""0090011""","Special Education",22,17,77.3
"Bloomfield School District","=""0110011""","Non-Special Education",149,134,89.9
"Bloomfield School District","=""0110011""","Special Education",19,13,"*"
"Bolton School District","=""0120011""","Non-Special Education",71,71,100.0
"Bolton School District","=""0120011""","Special Education",9,7,"*"
"Branford School District","=""0140011""","Non-Special Education",187,178,95.2
"Branford School District","=""0140011""","Special Education",40,34,85.0
"Bridgeport School District","=""0150011""","Non-Special Education",1186,942,79.4
"Bridgeport School District","=""0150011""","Special Education",260,144,55.4
"Bristol School District","=""0170011""","Non-Special Education",477,437,91.6
"Bristol School District","=""0170011""","Special Education",123,81,65.9
"Brookfield School District","=""0180011""","Non-Special Education",188,183,97.3
"Brookfield School District","=""0180011""","Special Education",24,21,87.5
"Canton School District","=""0230011""","Non-Special Education",99,96,97.0
"Canton School District","=""0230011""","Special Education",17,14,"*"
"Capital Preparatory Harbor School District","=""2970013""","Non-Special Education","*","*","*"
"Capital Preparatory Harbor School District","=""2970013""","Special Education","*","*","*"
"Capitol Region Education Council","=""2410014""","Non-Special Education",461,441,95.7
"Capitol Region Education Council","=""2410014""","Special Education",73,66,90.4
"Cheshire School District","=""0250011""","Non-Special Education",301,298,99.0
"Cheshire School District","=""0250011""","Special Education",50,35,70.0
"Clinton School District","=""0270011""","Non-Special Education",124,114,91.9
"Clinton School District","=""0270011""","Special Education",8,6,"*"
"Colchester School District","=""0280011""","Non-Special Education",194,188,96.9
"Colchester School District","=""0280011""","Special Education",28,21,75.0
"Common Ground High School District","=""2680013""","Non-Special Education",31,"*","*"
"Common Ground High School District","=""2680013""","Special Education",6,"*","*"
"Connecticut Technical Education and Career System","=""9000016""","Non-Special Education",2252,2191,97.3
"Connecticut Technical Education and Career System","=""9000016""","Special Education",170,159,93.5
"Coventry School District","=""0320011""","Non-Special Education",100,98,98.0
"Coventry School District","=""0320011""","Special Education",23,18,78.3
"Cromwell School District","=""0330011""","Non-Special Education",141,140,99.3
"Cromwell School District","=""0330011""","Special Education",12,10,"*"
"Danbury School District","=""0340011""","Non-Special Education",695,578,83.2
"Danbury School District","=""0340011""","Special Education",86,54,62.8
"Darien School District","=""0350011""","Non-Special Education",289,284,98.3
"Darien School District","=""0350011""","Special Education",55,48,87.3
"Department of Mental Health and Addiction Services","=""3370015""","Special Education","*","*","*"
"Derby School District","=""0370011""","Non-Special Education",88,70,79.5
"Derby School District","=""0370011""","Special Education",13,10,"*"
"East Granby School District","=""0400011""","Non-Special Education","*","*","*"
"East Granby School District","=""0400011""","Special Education","*","*","*"
"East Haddam School District","=""0410011""","Non-Special Education",75,70,93.3
"East Haddam School District","=""0410011""","Special Education",9,8,"*"
"East Hampton School District","=""0420011""","Non-Special Education",103,100,97.1
"East Hampton School District","=""0420011""","Special Education",10,7,"*"
"East Hartford School District","=""0430011""","Non-Special Education",431,402,93.3
"East Hartford School District","=""0430011""","Special Education",78,47,60.3
"East Haven School District","=""0440011""","Non-Special Education",224,194,86.6
"East Haven School District","=""0440011""","Special Education",24,15,62.5
"East Lyme School District","=""0450011""","Non-Special Education",253,247,97.6
"East Lyme School District","=""0450011""","Special Education",34,27,79.4
"East Windsor School District","=""0470011""","Non-Special Education",74,72,97.3
"East Windsor School District","=""0470011""","Special Education",21,14,66.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-Special Education",72,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Special Education",12,"*","*"
"Ellington School District","=""0480011""","Non-Special Education",162,161,99.4
"Ellington School District","=""0480011""","Special Education",19,14,"*"
"Elm City College Preparatory School District","=""2890013""","Non-Special Education","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Special Education","*","*","*"
"Enfield School District","=""0490011""","Non-Special Education",355,330,93.0
"Enfield School District","=""0490011""","Special Education",49,32,65.3
"Explorations District","=""2720013""","Non-Special Education",15,11,"*"
"Explorations District","=""2720013""","Special Education",13,12,"*"
"Fairfield School District","=""0510011""","Non-Special Education",681,674,99.0
"Fairfield School District","=""0510011""","Special Education",106,85,80.2
"Farmington School District","=""0520011""","Non-Special Education",260,256,98.5
"Farmington School District","=""0520011""","Special Education",37,28,75.7
"Glastonbury School District","=""0540011""","Non-Special Education",443,442,99.8
"Glastonbury School District","=""0540011""","Special Education",53,37,69.8
"Granby School District","=""0560011""","Non-Special Education",146,143,97.9
"Granby School District","=""0560011""","Special Education",16,14,"*"
"Greenwich School District","=""0570011""","Non-Special Education",532,520,97.7
"Greenwich School District","=""0570011""","Special Education",89,70,78.7
"Griswold School District","=""0580011""","Non-Special Education",131,121,92.4
"Griswold School District","=""0580011""","Special Education",23,13,56.5
"Groton School District","=""0590011""","Non-Special Education",234,210,89.7
"Groton School District","=""0590011""","Special Education",42,21,50.0
"Guilford School District","=""0600011""","Non-Special Education",256,255,99.6
"Guilford School District","=""0600011""","Special Education",41,33,80.5
"Hamden School District","=""0620011""","Non-Special Education",352,326,92.6
"Hamden School District","=""0620011""","Special Education",81,49,60.5
"Hartford School District","=""0640011""","Non-Special Education",1076,813,75.6
"Hartford School District","=""0640011""","Special Education",240,118,49.2
"Highville Charter School District","=""2860013""","Non-Special Education",21,21,100.0
"Jumoke Academy District","=""2610013""","Non-Special Education",14,"*","*"
"Killingly School District","=""0690011""","Non-Special Education",155,139,89.7
"Killingly School District","=""0690011""","Special Education",45,32,71.1
"Learn","=""2450014""","Non-Special Education",167,155,92.8
"Learn","=""2450014""","Special Education",29,21,72.4
"Lebanon School District","=""0710011""","Non-Special Education",73,71,97.3
"Lebanon School District","=""0710011""","Special Education",16,12,"*"
"Ledyard School District","=""0720011""","Non-Special Education",162,155,95.7
"Ledyard School District","=""0720011""","Special Education",33,27,81.8
"Litchfield School District","=""0740011""","Non-Special Education",53,53,100.0
"Litchfield School District","=""0740011""","Special Education",11,10,"*"
"Madison School District","=""0760011""","Non-Special Education",259,259,100.0
"Madison School District","=""0760011""","Special Education",33,25,75.8
"Manchester School District","=""0770011""","Non-Special Education",357,311,87.1
"Manchester School District","=""0770011""","Special Education",53,26,49.1
"Meriden School District","=""0800011""","Non-Special Education",487,429,88.1
"Meriden School District","=""0800011""","Special Education",139,63,45.3
"Middletown School District","=""0830011""","Non-Special Education",279,271,97.1
"Middletown School District","=""0830011""","Special Education",50,26,52.0
"Milford School District","=""0840011""","Non-Special Education",378,372,98.4
"Milford School District","=""0840011""","Special Education",59,35,59.3
"Monroe School District","=""0850011""","Non-Special Education",278,274,98.6
"Monroe School District","=""0850011""","Special Education",29,18,62.1
"Montville School District","=""0860011""","Non-Special Education",159,155,97.5
"Montville School District","=""0860011""","Special Education",22,10,45.5
"Naugatuck School District","=""0880011""","Non-Special Education",267,233,87.3
"Naugatuck School District","=""0880011""","Special Education",49,39,79.6
"New Britain School District","=""0890011""","Non-Special Education",515,408,79.2
"New Britain School District","=""0890011""","Special Education",112,51,45.5
"New Canaan School District","=""0900011""","Non-Special Education",272,271,99.6
"New Canaan School District","=""0900011""","Special Education",42,37,88.1
"New Fairfield School District","=""0910011""","Non-Special Education",188,184,97.9
"New Fairfield School District","=""0910011""","Special Education",18,15,"*"
"New Haven School District","=""0930011""","Non-Special Education",1270,1040,81.9
"New Haven School District","=""0930011""","Special Education",258,165,64.0
"New London School District","=""0950011""","Non-Special Education",216,188,87.0
"New London School District","=""0950011""","Special Education",45,25,55.6
"New Milford School District","=""0960011""","Non-Special Education",321,303,94.4
"New Milford School District","=""0960011""","Special Education",34,23,67.6
"Newington School District","=""0940011""","Non-Special Education",248,239,96.4
"Newington School District","=""0940011""","Special Education",55,49,89.1
"Newtown School District","=""0970011""","Non-Special Education",392,388,99.0
"Newtown School District","=""0970011""","Special Education",32,21,65.6
"North Branford School District","=""0990011""","Non-Special Education",130,125,96.2
"North Branford School District","=""0990011""","Special Education",21,17,81.0
"North Haven School District","=""1010011""","Non-Special Education",226,218,96.5
"North Haven School District","=""1010011""","Special Education",27,13,48.1
"North Stonington School District","=""1020011""","Non-Special Education","*","*","*"
"North Stonington School District","=""1020011""","Special Education","*","*","*"
"Norwalk School District","=""1030011""","Non-Special Education",786,745,94.8
"Norwalk School District","=""1030011""","Special Education",107,73,68.2
"Norwich Free Academy District","=""9010022""","Non-Special Education",540,484,89.6
"Norwich Free Academy District","=""9010022""","Special Education",59,32,54.2
"Old Saybrook School District","=""1060011""","Non-Special Education",94,94,100.0
"Old Saybrook School District","=""1060011""","Special Education",16,12,"*"
"Oxford School District","=""1080011""","Non-Special Education",126,122,96.8
"Oxford School District","=""1080011""","Special Education",13,10,"*"
"Path Academy District","=""2930013""","Non-Special Education",36,"*","*"
"Path Academy District","=""2930013""","Special Education",11,"*","*"
"Plainfield School District","=""1090011""","Non-Special Education",147,128,87.1
"Plainfield School District","=""1090011""","Special Education",25,17,68.0
"Plainville School District","=""1100011""","Non-Special Education",144,137,95.1
"Plainville School District","=""1100011""","Special Education",28,17,60.7
"Plymouth School District","=""1110011""","Non-Special Education",109,106,97.2
"Plymouth School District","=""1110011""","Special Education",23,16,69.6
"Portland School District","=""1130011""","Non-Special Education",76,72,94.7
"Portland School District","=""1130011""","Special Education",9,6,"*"
"Putnam School District","=""1160011""","Non-Special Education",53,52,98.1
"Putnam School District","=""1160011""","Special Education",18,11,"*"
"Regional School District 01","=""2010012""","Non-Special Education",73,71,97.3
"Regional School District 01","=""2010012""","Special Education",19,16,"*"
