"Four-Year Graduation Rates, 2013-14"
"All Districts, Special Education Status"

"",,,"Graduates",,"Non-Graduates",,,
"District","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Non-Special Education","*","*","*","*","*","*","*"
"Amistad Academy District","Special Education","*","*","*","*","*","*","*"
"Ansonia School District","Non-Special Education",140,111,79.3,"*","*","*","*"
"Ansonia School District","Special Education",17,9,52.9,"*","*","*","*"
"Avon School District","Non-Special Education",244,242,99.2,"*","*","*","*"
"Avon School District","Special Education",28,23,82.1,"*","*","*","*"
"Berlin School District","Non-Special Education",202,198,98.0,"*","*","*","*"
"Berlin School District","Special Education",33,25,75.8,"*","*","*","*"
"Bethel School District","Non-Special Education",213,201,94.4,"*","*","*","*"
"Bethel School District","Special Education",31,25,80.6,"*","*","*","*"
"Bloomfield School District","Non-Special Education",148,136,91.9,"*","*","*","*"
"Bloomfield School District","Special Education",21,12,57.1,"*","*","*","*"
"Bolton School District","Non-Special Education",94,"*","*","*","*","*","*"
"Bolton School District","Special Education",9,"*","*","*","*","*","*"
"Branford School District","Non-Special Education",253,236,93.3,"*","*","*","*"
"Branford School District","Special Education",46,36,78.3,"*","*","*","*"
"Bridgeport School District","Non-Special Education",1075,805,74.9,64,6.0,206,19.2
"Bridgeport School District","Special Education",172,87,50.6,53,30.8,32,18.6
"Bristol School District","Non-Special Education",577,491,85.1,37,6.4,49,8.5
"Bristol School District","Special Education",122,81,66.4,26,21.3,15,12.3
"Brookfield School District","Non-Special Education",210,206,98.1,"*","*","*","*"
"Brookfield School District","Special Education",22,19,86.4,"*","*","*","*"
"Canton School District","Non-Special Education",118,115,97.5,"*","*","*","*"
"Canton School District","Special Education",18,13,72.2,"*","*","*","*"
"Capitol Region Education Council","Non-Special Education",293,262,89.4,"*","*","*","*"
"Capitol Region Education Council","Special Education",24,19,79.2,"*","*","*","*"
"Cheshire School District","Non-Special Education",334,332,99.4,"*","*","*","*"
"Cheshire School District","Special Education",55,39,70.9,"*","*","*","*"
"Clinton School District","Non-Special Education",120,115,95.8,"*","*","*","*"
"Clinton School District","Special Education",13,8,61.5,"*","*","*","*"
"Colchester School District","Non-Special Education",220,215,97.7,"*","*","*","*"
"Colchester School District","Special Education",28,22,78.6,"*","*","*","*"
"Common Ground High School District","Non-Special Education","*","*","*","*","*","*","*"
"Common Ground High School District","Special Education","*","*","*","*","*","*","*"
"Connecticut Technical High School System","Non-Special Education",2242,2157,96.2,"*","*",63,2.8
"Connecticut Technical High School System","Special Education",181,172,95.0,"*","*",6,3.3
"Coventry School District","Non-Special Education",110,109,99.1,"*","*","*","*"
"Coventry School District","Special Education",23,19,82.6,"*","*","*","*"
"Cromwell School District","Non-Special Education",123,"*","*","*","*","*","*"
"Cromwell School District","Special Education",11,"*","*","*","*","*","*"
"Danbury School District","Non-Special Education",675,554,82.1,49,7.3,72,10.7
"Danbury School District","Special Education",86,40,46.5,34,39.5,12,14.0
"Darien School District","Non-Special Education",278,275,98.9,"*","*","*","*"
"Darien School District","Special Education",58,50,86.2,"*","*","*","*"
