"Four-Year Graduation Rates, 2016-17"
"All Districts, Special Education Status"

"",,,,"Graduates",
"District","District Code","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Achievement First Hartford Academy Inc. District","=""2880013""","Non-Special Education","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Special Education","*","*","*"
"Amistad Academy District","=""2790013""","Non-Special Education","*","*","*"
"Amistad Academy District","=""2790013""","Special Education","*","*","*"
"Ansonia School District","=""0020011""","Non-Special Education",145,125,86.2
"Ansonia School District","=""0020011""","Special Education",34,25,73.5
"Avon School District","=""0040011""","Non-Special Education",216,"*","*"
"Avon School District","=""0040011""","Special Education",32,"*","*"
"Berlin School District","=""0070011""","Non-Special Education",205,"*","*"
"Berlin School District","=""0070011""","Special Education",30,"*","*"
"Bethel School District","=""0090011""","Non-Special Education",184,177,96.2
"Bethel School District","=""0090011""","Special Education",25,19,76.0
"Bloomfield School District","=""0110011""","Non-Special Education",161,149,92.5
"Bloomfield School District","=""0110011""","Special Education",33,18,54.5
"Bolton School District","=""0120011""","Non-Special Education",63,"*","*"
"Bolton School District","=""0120011""","Special Education",6,"*","*"
"Branford School District","=""0140011""","Non-Special Education",204,197,96.6
"Branford School District","=""0140011""","Special Education",54,46,85.2
"Bridgeport Achievement First District","=""2850013""","Non-Special Education","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Special Education","*","*","*"
"Bridgeport School District","=""0150011""","Non-Special Education",1175,908,77.3
"Bridgeport School District","=""0150011""","Special Education",229,138,60.3
"Bristol School District","=""0170011""","Non-Special Education",519,472,90.9
"Bristol School District","=""0170011""","Special Education",114,79,69.3
"Brookfield School District","=""0180011""","Non-Special Education",199,"*","*"
"Brookfield School District","=""0180011""","Special Education",30,"*","*"
"Canton School District","=""0230011""","Non-Special Education",101,"*","*"
"Canton School District","=""0230011""","Special Education",17,"*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Non-Special Education","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Special Education","*","*","*"
"Capitol Region Education Council","=""2410014""","Non-Special Education",430,404,94.0
"Capitol Region Education Council","=""2410014""","Special Education",66,54,81.8
"Cheshire School District","=""0250011""","Non-Special Education",337,337,100.0
"Cheshire School District","=""0250011""","Special Education",54,41,75.9
"Clinton School District","=""0270011""","Non-Special Education",122,115,94.3
"Clinton School District","=""0270011""","Special Education",17,10,"*"
"Colchester School District","=""0280011""","Non-Special Education",183,173,94.5
"Colchester School District","=""0280011""","Special Education",29,21,72.4
"Common Ground High School District","=""2680013""","Non-Special Education",34,30,88.2
"Common Ground High School District","=""2680013""","Special Education",9,7,"*"
"Connecticut Technical Education and Career System","=""9000016""","Non-Special Education",2187,2138,97.8
"Connecticut Technical Education and Career System","=""9000016""","Special Education",244,232,95.1
"Coventry School District","=""0320011""","Non-Special Education",117,"*","*"
"Coventry School District","=""0320011""","Special Education",14,"*","*"
"Cromwell School District","=""0330011""","Non-Special Education",121,"*","*"
"Cromwell School District","=""0330011""","Special Education",23,"*","*"
"Danbury School District","=""0340011""","Non-Special Education",657,537,81.7
"Danbury School District","=""0340011""","Special Education",124,76,61.3
"Darien School District","=""0350011""","Non-Special Education",282,"*","*"
"Darien School District","=""0350011""","Special Education",46,"*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Special Education","*","*","*"
"Derby School District","=""0370011""","Non-Special Education",90,"*","*"
"Derby School District","=""0370011""","Special Education",9,"*","*"
"East Granby School District","=""0400011""","Non-Special Education",50,"*","*"
"East Granby School District","=""0400011""","Special Education",8,"*","*"
"East Haddam School District","=""0410011""","Non-Special Education",69,"*","*"
"East Haddam School District","=""0410011""","Special Education",14,"*","*"
"East Hampton School District","=""0420011""","Non-Special Education",123,"*","*"
"East Hampton School District","=""0420011""","Special Education",10,"*","*"
"East Hartford School District","=""0430011""","Non-Special Education",426,390,91.5
"East Hartford School District","=""0430011""","Special Education",95,73,76.8
"East Haven School District","=""0440011""","Non-Special Education",191,154,80.6
"East Haven School District","=""0440011""","Special Education",52,32,61.5
"East Lyme School District","=""0450011""","Non-Special Education",225,220,97.8
"East Lyme School District","=""0450011""","Special Education",35,31,88.6
"East Windsor School District","=""0470011""","Non-Special Education",54,47,87.0
"East Windsor School District","=""0470011""","Special Education",19,14,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-Special Education",38,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Special Education",13,"*","*"
"Ellington School District","=""0480011""","Non-Special Education",181,179,98.9
"Ellington School District","=""0480011""","Special Education",25,20,80.0
"Elm City College Preparatory School District","=""2890013""","Non-Special Education",29,24,82.8
"Elm City College Preparatory School District","=""2890013""","Special Education",6,6,"*"
"Enfield School District","=""0490011""","Non-Special Education",328,287,87.5
"Enfield School District","=""0490011""","Special Education",61,43,70.5
"Explorations District","=""2720013""","Non-Special Education",15,"*","*"
"Explorations District","=""2720013""","Special Education",7,"*","*"
"Fairfield School District","=""0510011""","Non-Special Education",633,622,98.3
"Fairfield School District","=""0510011""","Special Education",102,82,80.4
"Farmington School District","=""0520011""","Non-Special Education",261,"*","*"
"Farmington School District","=""0520011""","Special Education",44,"*","*"
"Glastonbury School District","=""0540011""","Non-Special Education",432,430,99.5
"Glastonbury School District","=""0540011""","Special Education",52,44,84.6
"Granby School District","=""0560011""","Non-Special Education",131,127,96.9
"Granby School District","=""0560011""","Special Education",26,21,80.8
