"Four-Year Graduation Rates, 2014-15"
"All Districts, Special Education Status"

"",,,"Non-Graduates",,,
"District","Special Education Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Non-Special Education","*","*","*","*","*"
"Amistad Academy District","Special Education","*","*","*","*","*"
"Ansonia School District","Non-Special Education",151,"*","*","*","*"
"Ansonia School District","Special Education",21,"*","*","*","*"
"Avon School District","Non-Special Education",215,"*","*","*","*"
"Avon School District","Special Education",33,"*","*","*","*"
"Berlin School District","Non-Special Education",178,"*","*","*","*"
"Berlin School District","Special Education",32,"*","*","*","*"
"Bethel School District","Non-Special Education",186,"*","*","*","*"
"Bethel School District","Special Education",32,"*","*","*","*"
"Bloomfield School District","Non-Special Education",146,"*","*","*","*"
"Bloomfield School District","Special Education",30,"*","*","*","*"
"Bolton School District","Non-Special Education",65,"*","*","*","*"
"Bolton School District","Special Education",11,"*","*","*","*"
"Branford School District","Non-Special Education",220,"*","*","*","*"
"Branford School District","Special Education",33,"*","*","*","*"
"Bridgeport Achievement First District","Non-Special Education","*","*","*","*","*"
"Bridgeport Achievement First District","Special Education","*","*","*","*","*"
"Bridgeport School District","Non-Special Education",988,82,8.3,248,25.1
"Bridgeport School District","Special Education",200,58,29.0,45,22.5
"Bristol School District","Non-Special Education",545,21,3.9,59,10.8
"Bristol School District","Special Education",102,19,18.6,22,21.6
"Brookfield School District","Non-Special Education",208,"*","*","*","*"
"Brookfield School District","Special Education",27,"*","*","*","*"
"Canton School District","Non-Special Education",116,"*","*","*","*"
"Canton School District","Special Education",16,"*","*","*","*"
"Capitol Region Education Council","Non-Special Education",292,"*","*","*","*"
"Capitol Region Education Council","Special Education",31,"*","*","*","*"
"Cheshire School District","Non-Special Education",347,"*","*","*","*"
"Cheshire School District","Special Education",45,"*","*","*","*"
"Clinton School District","Non-Special Education",141,"*","*","*","*"
"Clinton School District","Special Education",21,"*","*","*","*"
"Colchester School District","Non-Special Education",197,"*","*","*","*"
"Colchester School District","Special Education",31,"*","*","*","*"
"Common Ground High School District","Non-Special Education","*","*","*","*","*"
"Common Ground High School District","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","Non-Special Education",2227,"*","*",49,2.2
"Connecticut Technical High School System","Special Education",241,"*","*",6,2.5
"Coventry School District","Non-Special Education",98,"*","*","*","*"
"Coventry School District","Special Education",19,"*","*","*","*"
"Cromwell School District","Non-Special Education",108,"*","*","*","*"
"Cromwell School District","Special Education",20,"*","*","*","*"
"Danbury School District","Non-Special Education",688,61,8.9,87,12.6
"Danbury School District","Special Education",84,19,22.6,10,11.9
"Darien School District","Non-Special Education",292,"*","*","*","*"
"Darien School District","Special Education",42,"*","*","*","*"
"Derby School District","Non-Special Education",86,"*","*","*","*"
"Derby School District","Special Education",16,"*","*","*","*"
"East Granby School District","Non-Special Education",54,"*","*","*","*"
"East Granby School District","Special Education",7,"*","*","*","*"
"East Haddam School District","Non-Special Education",93,"*","*","*","*"
"East Haddam School District","Special Education",20,"*","*","*","*"
"East Hampton School District","Non-Special Education",114,"*","*","*","*"
"East Hampton School District","Special Education",13,"*","*","*","*"
"East Hartford School District","Non-Special Education",469,12,2.6,29,6.2
"East Hartford School District","Special Education",97,14,14.4,13,13.4
"East Haven School District","Non-Special Education",200,"*","*",37,18.5
"East Haven School District","Special Education",44,"*","*",12,27.3
"East Lyme School District","Non-Special Education",239,"*","*","*","*"
"East Lyme School District","Special Education",35,"*","*","*","*"
"East Windsor School District","Non-Special Education",70,"*","*","*","*"
