"Four-Year Graduation Rates, 2013-14"
"All Districts, Special Education Status"

"",,,"Non-Graduates",,,
"District","Special Education Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Non-Special Education","*","*","*","*","*"
"Amistad Academy District","Special Education","*","*","*","*","*"
"Ansonia School District","Non-Special Education",140,"*","*","*","*"
"Ansonia School District","Special Education",17,"*","*","*","*"
"Avon School District","Non-Special Education",244,"*","*","*","*"
"Avon School District","Special Education",28,"*","*","*","*"
"Berlin School District","Non-Special Education",202,"*","*","*","*"
"Berlin School District","Special Education",33,"*","*","*","*"
"Bethel School District","Non-Special Education",213,"*","*","*","*"
"Bethel School District","Special Education",31,"*","*","*","*"
"Bloomfield School District","Non-Special Education",148,"*","*","*","*"
"Bloomfield School District","Special Education",21,"*","*","*","*"
"Bolton School District","Non-Special Education",94,"*","*","*","*"
"Bolton School District","Special Education",9,"*","*","*","*"
"Branford School District","Non-Special Education",253,"*","*","*","*"
"Branford School District","Special Education",46,"*","*","*","*"
"Bridgeport School District","Non-Special Education",1075,64,6.0,206,19.2
"Bridgeport School District","Special Education",172,53,30.8,32,18.6
"Bristol School District","Non-Special Education",577,37,6.4,49,8.5
"Bristol School District","Special Education",122,26,21.3,15,12.3
"Brookfield School District","Non-Special Education",210,"*","*","*","*"
"Brookfield School District","Special Education",22,"*","*","*","*"
"Canton School District","Non-Special Education",118,"*","*","*","*"
"Canton School District","Special Education",18,"*","*","*","*"
"Capitol Region Education Council","Non-Special Education",293,"*","*","*","*"
"Capitol Region Education Council","Special Education",24,"*","*","*","*"
"Cheshire School District","Non-Special Education",334,"*","*","*","*"
"Cheshire School District","Special Education",55,"*","*","*","*"
"Clinton School District","Non-Special Education",120,"*","*","*","*"
"Clinton School District","Special Education",13,"*","*","*","*"
"Colchester School District","Non-Special Education",220,"*","*","*","*"
"Colchester School District","Special Education",28,"*","*","*","*"
"Common Ground High School District","Non-Special Education","*","*","*","*","*"
"Common Ground High School District","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","Non-Special Education",2242,"*","*",63,2.8
"Connecticut Technical High School System","Special Education",181,"*","*",6,3.3
"Coventry School District","Non-Special Education",110,"*","*","*","*"
"Coventry School District","Special Education",23,"*","*","*","*"
"Cromwell School District","Non-Special Education",123,"*","*","*","*"
"Cromwell School District","Special Education",11,"*","*","*","*"
"Danbury School District","Non-Special Education",675,49,7.3,72,10.7
"Danbury School District","Special Education",86,34,39.5,12,14.0
"Darien School District","Non-Special Education",278,"*","*","*","*"
"Darien School District","Special Education",58,"*","*","*","*"
"Department of Mental Health and Addiction Services","Special Education","*","*","*","*","*"
"Derby School District","Non-Special Education",87,"*","*","*","*"
"Derby School District","Special Education",15,"*","*","*","*"
"East Granby School District","Non-Special Education","*","*","*","*","*"
"East Granby School District","Special Education","*","*","*","*","*"
"East Haddam School District","Non-Special Education",87,"*","*","*","*"
"East Haddam School District","Special Education",18,"*","*","*","*"
"East Hampton School District","Non-Special Education",114,"*","*","*","*"
"East Hampton School District","Special Education",7,"*","*","*","*"
"East Hartford School District","Non-Special Education",419,39,9.3,39,9.3
"East Hartford School District","Special Education",88,20,22.7,12,13.6
"East Haven School District","Non-Special Education",223,"*","*",27,12.1
"East Haven School District","Special Education",37,"*","*",12,32.4
"East Lyme School District","Non-Special Education",237,"*","*","*","*"
"East Lyme School District","Special Education",37,"*","*","*","*"
"East Windsor School District","Non-Special Education",92,"*","*","*","*"
"East Windsor School District","Special Education",17,"*","*","*","*"
