"Four-Year Graduation Rates, 2018-19"
"All Districts, Special Education Status"

"",,,,"Non-Graduates",,,
"District","District Code","Special Education Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Achievement First Bridgeport Academy District","=""2850013""","Non-Special Education",40,0,0.0,"*","*"
"Achievement First Bridgeport Academy District","=""2850013""","Special Education",7,0,"*","*","*"
"Achievement First Hartford Academy District","=""2880013""","Non-Special Education",25,"*","*",0,0.0
"Achievement First Hartford Academy District","=""2880013""","Special Education",7,0,"*",0,"*"
"Amistad Academy District","=""2790013""","Non-Special Education","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Special Education","*","*","*","*","*"
"Ansonia School District","=""0020011""","Non-Special Education",147,"*","*","*","*"
"Ansonia School District","=""0020011""","Special Education",34,"*","*","*","*"
"Avon School District","=""0040011""","Non-Special Education",198,"*","*","*","*"
"Avon School District","=""0040011""","Special Education",26,"*","*","*","*"
"Berlin School District","=""0070011""","Non-Special Education",208,"*","*","*","*"
"Berlin School District","=""0070011""","Special Education",25,0,0.0,"*","*"
"Bethel School District","=""0090011""","Non-Special Education",202,"*","*","*","*"
"Bethel School District","=""0090011""","Special Education",35,"*","*",0,0.0
"Bloomfield School District","=""0110011""","Non-Special Education",137,"*","*","*","*"
"Bloomfield School District","=""0110011""","Special Education",24,"*","*","*","*"
"Bolton School District","=""0120011""","Non-Special Education",61,"*","*","*","*"
"Bolton School District","=""0120011""","Special Education",6,"*","*",0,"*"
"Branford School District","=""0140011""","Non-Special Education",178,"*","*","*","*"
"Branford School District","=""0140011""","Special Education",50,"*","*","*","*"
"Bridgeport School District","=""0150011""","Non-Special Education",1192,57,4.8,185,15.5
"Bridgeport School District","=""0150011""","Special Education",265,57,21.5,50,18.9
"Bristol School District","=""0170011""","Non-Special Education",482,12,2.5,37,7.7
"Bristol School District","=""0170011""","Special Education",150,31,20.7,7,4.7
"Brookfield School District","=""0180011""","Non-Special Education",180,"*","*","*","*"
"Brookfield School District","=""0180011""","Special Education",37,"*","*","*","*"
"Canton School District","=""0230011""","Non-Special Education",108,0,0.0,"*","*"
"Canton School District","=""0230011""","Special Education",16,"*","*","*","*"
"Capital Preparatory Harbor School District","=""2970013""","Non-Special Education","*","*","*","*","*"
"Capital Preparatory Harbor School District","=""2970013""","Special Education","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Non-Special Education",439,"*","*",11,2.5
"Capitol Region Education Council","=""2410014""","Special Education",66,"*","*",6,9.1
"Cheshire School District","=""0250011""","Non-Special Education",323,0,0.0,"*","*"
"Cheshire School District","=""0250011""","Special Education",52,7,13.5,"*","*"
"Clinton School District","=""0270011""","Non-Special Education",131,"*","*","*","*"
"Clinton School District","=""0270011""","Special Education",13,"*","*",0,"*"
"Colchester School District","=""0280011""","Non-Special Education",162,"*","*","*","*"
"Colchester School District","=""0280011""","Special Education",33,"*","*","*","*"
"Common Ground High School District","=""2680013""","Non-Special Education",35,"*","*","*","*"
"Common Ground High School District","=""2680013""","Special Education",12,0,"*",0,"*"
"Connecticut Technical Education and Career System","=""9000016""","Non-Special Education",2037,"*","*",40,2.0
"Connecticut Technical Education and Career System","=""9000016""","Special Education",302,"*","*",12,4.0
"Coventry School District","=""0320011""","Non-Special Education",87,"*","*","*","*"
"Coventry School District","=""0320011""","Special Education",20,"*","*",0,0.0
"Cromwell School District","=""0330011""","Non-Special Education",114,"*","*","*","*"
"Cromwell School District","=""0330011""","Special Education",19,"*","*","*","*"
"Danbury School District","=""0340011""","Non-Special Education",672,63,9.4,52,7.7
"Danbury School District","=""0340011""","Special Education",118,30,25.4,18,15.3
"Darien School District","=""0350011""","Non-Special Education",261,0,0.0,0,0.0
"Darien School District","=""0350011""","Special Education",74,7,9.5,0,0.0
"Department of Mental Health and Addiction Services","=""3370015""","Special Education",6,"*","*","*","*"
"Derby School District","=""0370011""","Non-Special Education",67,"*","*","*","*"
"Derby School District","=""0370011""","Special Education",17,"*","*","*","*"
"East Granby School District","=""0400011""","Non-Special Education",61,0,0.0,0,0.0
"East Granby School District","=""0400011""","Special Education",11,0,"*",0,"*"
"East Haddam School District","=""0410011""","Non-Special Education",64,0,0.0,"*","*"
"East Haddam School District","=""0410011""","Special Education",11,"*","*",0,"*"
"East Hampton School District","=""0420011""","Non-Special Education",120,0,0.0,"*","*"
"East Hampton School District","=""0420011""","Special Education",11,"*","*","*","*"
"East Hartford School District","=""0430011""","Non-Special Education",458,9,2.0,28,6.1
"East Hartford School District","=""0430011""","Special Education",103,23,22.3,6,5.8
"East Haven School District","=""0440011""","Non-Special Education",200,11,5.5,26,13.0
"East Haven School District","=""0440011""","Special Education",35,9,25.7,6,17.1
"East Lyme School District","=""0450011""","Non-Special Education",218,"*","*","*","*"
"East Lyme School District","=""0450011""","Special Education",40,"*","*","*","*"
"East Windsor School District","=""0470011""","Non-Special Education",58,"*","*","*","*"
"East Windsor School District","=""0470011""","Special Education",19,"*","*",0,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-Special Education",61,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Special Education",12,"*","*","*","*"
"Ellington School District","=""0480011""","Non-Special Education",173,"*","*","*","*"
"Ellington School District","=""0480011""","Special Education",28,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Non-Special Education","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Special Education","*","*","*","*","*"
"Enfield School District","=""0490011""","Non-Special Education",304,7,2.3,"*","*"
"Enfield School District","=""0490011""","Special Education",65,17,26.2,"*","*"
"Explorations District","=""2720013""","Non-Special Education",22,"*","*","*","*"
"Explorations District","=""2720013""","Special Education",9,"*","*",0,"*"
"Fairfield School District","=""0510011""","Non-Special Education",662,"*","*","*","*"
"Fairfield School District","=""0510011""","Special Education",124,"*","*","*","*"
"Farmington School District","=""0520011""","Non-Special Education",252,"*","*",0,0.0
"Farmington School District","=""0520011""","Special Education",31,"*","*",0,0.0
"Glastonbury School District","=""0540011""","Non-Special Education",463,0,0.0,"*","*"
"Glastonbury School District","=""0540011""","Special Education",50,"*","*","*","*"
"Granby School District","=""0560011""","Non-Special Education",144,"*","*",0,0.0
"Granby School District","=""0560011""","Special Education",28,"*","*","*","*"
"Greenwich School District","=""0570011""","Non-Special Education",604,12,2.0,"*","*"
"Greenwich School District","=""0570011""","Special Education",78,12,15.4,"*","*"
"Griswold School District","=""0580011""","Non-Special Education",93,"*","*","*","*"
"Griswold School District","=""0580011""","Special Education",40,"*","*","*","*"
"Groton School District","=""0590011""","Non-Special Education",247,"*","*",19,7.7
"Groton School District","=""0590011""","Special Education",47,"*","*",9,19.1
"Guilford School District","=""0600011""","Non-Special Education",234,0,0.0,"*","*"
"Guilford School District","=""0600011""","Special Education",32,"*","*",0,0.0
"Hamden School District","=""0620011""","Non-Special Education",319,8,2.5,11,3.4
"Hamden School District","=""0620011""","Special Education",83,32,38.6,10,12.0
"Hartford School District","=""0640011""","Non-Special Education",1083,123,11.4,114,10.5
"Hartford School District","=""0640011""","Special Education",293,80,27.3,61,20.8
"Highville Charter School District","=""2860013""","Non-Special Education","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Special Education","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","Non-Special Education","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","Special Education","*","*","*","*","*"
"Killingly School District","=""0690011""","Non-Special Education",175,9,5.1,13,7.4
"Killingly School District","=""0690011""","Special Education",39,8,20.5,6,15.4
"Learn","=""2450014""","Non-Special Education",169,"*","*","*","*"
"Learn","=""2450014""","Special Education",35,"*","*","*","*"
"Lebanon School District","=""0710011""","Non-Special Education",69,0,0.0,"*","*"
"Lebanon School District","=""0710011""","Special Education",25,"*","*","*","*"
"Ledyard School District","=""0720011""","Non-Special Education",161,0,0.0,"*","*"
"Ledyard School District","=""0720011""","Special Education",37,7,18.9,"*","*"
"Litchfield School District","=""0740011""","Non-Special Education",66,0,0.0,0,0.0
"Litchfield School District","=""0740011""","Special Education",7,"*","*",0,"*"
"Madison School District","=""0760011""","Non-Special Education",236,0,0.0,0,0.0
"Madison School District","=""0760011""","Special Education",32,"*","*","*","*"
"Manchester School District","=""0770011""","Non-Special Education",402,21,5.2,26,6.5
"Manchester School District","=""0770011""","Special Education",80,22,27.5,17,21.3
"Meriden School District","=""0800011""","Non-Special Education",458,11,2.4,40,8.7
"Meriden School District","=""0800011""","Special Education",129,48,37.2,18,14.0
"Middletown School District","=""0830011""","Non-Special Education",292,7,2.4,8,2.7
"Middletown School District","=""0830011""","Special Education",49,7,14.3,6,12.2
"Milford School District","=""0840011""","Non-Special Education",376,7,1.9,"*","*"
"Milford School District","=""0840011""","Special Education",82,18,22.0,"*","*"
"Monroe School District","=""0850011""","Non-Special Education",213,0,0.0,0,0.0
"Monroe School District","=""0850011""","Special Education",30,"*","*","*","*"
"Montville School District","=""0860011""","Non-Special Education",137,0,0.0,"*","*"
"Montville School District","=""0860011""","Special Education",20,6,30.0,"*","*"
"Naugatuck School District","=""0880011""","Non-Special Education",257,11,4.3,16,6.2
"Naugatuck School District","=""0880011""","Special Education",51,10,19.6,7,13.7
"New Britain School District","=""0890011""","Non-Special Education",514,32,6.2,53,10.3
"New Britain School District","=""0890011""","Special Education",154,44,28.6,19,12.3
"New Canaan School District","=""0900011""","Non-Special Education",265,"*","*",0,0.0
"New Canaan School District","=""0900011""","Special Education",50,"*","*",0,0.0
"New Fairfield School District","=""0910011""","Non-Special Education",193,"*","*",0,0.0
"New Fairfield School District","=""0910011""","Special Education",29,"*","*","*","*"
"New Haven School District","=""0930011""","Non-Special Education",1185,52,4.4,113,9.5
"New Haven School District","=""0930011""","Special Education",277,60,21.7,54,19.5
"New London School District","=""0950011""","Non-Special Education",212,"*","*",19,9.0
"New London School District","=""0950011""","Special Education",60,"*","*",19,31.7
"New Milford School District","=""0960011""","Non-Special Education",271,"*","*",15,5.5
"New Milford School District","=""0960011""","Special Education",46,"*","*",7,15.2
"Newington School District","=""0940011""","Non-Special Education",290,"*","*","*","*"
"Newington School District","=""0940011""","Special Education",47,"*","*",0,0.0
"Newtown School District","=""0970011""","Non-Special Education",370,"*","*","*","*"
"Newtown School District","=""0970011""","Special Education",39,"*","*","*","*"
"North Branford School District","=""0990011""","Non-Special Education",103,0,0.0,"*","*"
"North Branford School District","=""0990011""","Special Education",26,"*","*","*","*"
"North Haven School District","=""1010011""","Non-Special Education",221,"*","*","*","*"
"North Haven School District","=""1010011""","Special Education",35,"*","*","*","*"
"North Stonington School District","=""1020011""","Non-Special Education",38,0,0.0,0,0.0
"North Stonington School District","=""1020011""","Special Education",8,"*","*","*","*"
"Norwalk School District","=""1030011""","Non-Special Education",741,15,2.0,36,4.9
"Norwalk School District","=""1030011""","Special Education",120,20,16.7,12,10.0
"Norwich Free Academy District","=""9010022""","Non-Special Education",509,"*","*",55,10.8
"Norwich Free Academy District","=""9010022""","Special Education",90,"*","*",14,15.6
"Old Saybrook School District","=""1060011""","Non-Special Education",100,"*","*","*","*"
"Old Saybrook School District","=""1060011""","Special Education",10,"*","*","*","*"
"Oxford School District","=""1080011""","Non-Special Education",134,0,0.0,"*","*"
"Oxford School District","=""1080011""","Special Education",28,"*","*",0,0.0
"Plainfield School District","=""1090011""","Non-Special Education",138,"*","*",19,13.8
"Plainfield School District","=""1090011""","Special Education",33,"*","*",8,24.2
"Plainville School District","=""1100011""","Non-Special Education",165,"*","*","*","*"
"Plainville School District","=""1100011""","Special Education",21,"*","*","*","*"
"Plymouth School District","=""1110011""","Non-Special Education",107,"*","*","*","*"
"Plymouth School District","=""1110011""","Special Education",18,"*","*","*","*"
"Portland School District","=""1130011""","Non-Special Education",91,"*","*","*","*"
"Portland School District","=""1130011""","Special Education",14,"*","*","*","*"
"Putnam School District","=""1160011""","Non-Special Education",70,"*","*","*","*"
"Putnam School District","=""1160011""","Special Education",22,"*","*","*","*"
"Regional School District 01","=""2010012""","Non-Special Education",100,"*","*","*","*"
"Regional School District 01","=""2010012""","Special Education",16,"*","*","*","*"
"Regional School District 04","=""2040012""","Non-Special Education",121,"*","*","*","*"
"Regional School District 04","=""2040012""","Special Education",28,"*","*","*","*"
"Regional School District 05","=""2050012""","Non-Special Education",312,0,0.0,"*","*"
"Regional School District 05","=""2050012""","Special Education",46,6,13.0,"*","*"
"Regional School District 06","=""2060012""","Non-Special Education",71,0,0.0,0,0.0
"Regional School District 06","=""2060012""","Special Education",18,"*","*",0,"*"
"Regional School District 07","=""2070012""","Non-Special Education",174,"*","*",0,0.0
"Regional School District 07","=""2070012""","Special Education",28,"*","*","*","*"
"Regional School District 08","=""2080012""","Non-Special Education",195,0,0.0,"*","*"
"Regional School District 08","=""2080012""","Special Education",39,8,20.5,"*","*"
"Regional School District 09","=""2090012""","Non-Special Education",201,"*","*",0,0.0
"Regional School District 09","=""2090012""","Special Education",34,"*","*","*","*"
"Regional School District 10","=""2100012""","Non-Special Education",171,"*","*","*","*"
"Regional School District 10","=""2100012""","Special Education",27,"*","*",0,0.0
"Regional School District 11","=""2110012""","Non-Special Education",34,0,0.0,"*","*"
"Regional School District 11","=""2110012""","Special Education",8,0,"*",0,"*"
"Regional School District 12","=""2120012""","Non-Special Education",56,"*","*",0,0.0
"Regional School District 12","=""2120012""","Special Education",11,"*","*",0,"*"
"Regional School District 13","=""2130012""","Non-Special Education",103,0,0.0,0,0.0
"Regional School District 13","=""2130012""","Special Education",37,"*","*",0,0.0
"Regional School District 14","=""2140012""","Non-Special Education",160,0,0.0,"*","*"
"Regional School District 14","=""2140012""","Special Education",34,"*","*","*","*"
"Regional School District 15","=""2150012""","Non-Special Education",252,"*","*",0,0.0
"Regional School District 15","=""2150012""","Special Education",56,"*","*","*","*"
"Regional School District 16","=""2160012""","Non-Special Education",155,"*","*","*","*"
"Regional School District 16","=""2160012""","Special Education",16,"*","*",0,"*"
"Regional School District 17","=""2170012""","Non-Special Education",133,0,0.0,"*","*"
"Regional School District 17","=""2170012""","Special Education",27,0,0.0,"*","*"
"Regional School District 18","=""2180012""","Non-Special Education",104,0,0.0,0,0.0
"Regional School District 18","=""2180012""","Special Education",10,"*","*",0,"*"
"Regional School District 19","=""2190012""","Non-Special Education",249,"*","*","*","*"
"Regional School District 19","=""2190012""","Special Education",43,"*","*","*","*"
"Ridgefield School District","=""1180011""","Non-Special Education",338,"*","*",0,0.0
"Ridgefield School District","=""1180011""","Special Education",60,"*","*",0,0.0
"Rocky Hill School District","=""1190011""","Non-Special Education",164,"*","*",7,4.3
"Rocky Hill School District","=""1190011""","Special Education",26,"*","*",0,0.0
"Seymour School District","=""1240011""","Non-Special Education",146,"*","*","*","*"
"Seymour School District","=""1240011""","Special Education",33,"*","*","*","*"
"Shelton School District","=""1260011""","Non-Special Education",329,"*","*",11,3.3
"Shelton School District","=""1260011""","Special Education",49,"*","*",10,20.4
"Simsbury School District","=""1280011""","Non-Special Education",294,"*","*",0,0.0
"Simsbury School District","=""1280011""","Special Education",77,"*","*","*","*"
"Somers School District","=""1290011""","Non-Special Education",105,0,0.0,"*","*"
"Somers School District","=""1290011""","Special Education",26,"*","*","*","*"
"South Windsor School District","=""1320011""","Non-Special Education",260,"*","*","*","*"
"South Windsor School District","=""1320011""","Special Education",62,"*","*","*","*"
"Southington School District","=""1310011""","Non-Special Education",408,"*","*","*","*"
"Southington School District","=""1310011""","Special Education",66,"*","*","*","*"
"Stafford School District","=""1340011""","Non-Special Education",78,0,0.0,"*","*"
"Stafford School District","=""1340011""","Special Education",18,"*","*",0,"*"
"Stamford Academy District","=""2820013""","Non-Special Education",55,17,30.9,"*","*"
"Stamford Academy District","=""2820013""","Special Education",24,14,58.3,"*","*"
"Stamford School District","=""1350011""","Non-Special Education",1000,29,2.9,80,8.0
"Stamford School District","=""1350011""","Special Education",157,36,22.9,8,5.1
"Stonington School District","=""1370011""","Non-Special Education",149,"*","*","*","*"
"Stonington School District","=""1370011""","Special Education",28,"*","*","*","*"
"Stratford School District","=""1380011""","Non-Special Education",435,11,2.5,"*","*"
"Stratford School District","=""1380011""","Special Education",85,17,20.0,"*","*"
"Suffield School District","=""1390011""","Non-Special Education",181,0,0.0,"*","*"
"Suffield School District","=""1390011""","Special Education",29,"*","*","*","*"
"The Bridge Academy District","=""2690013""","Non-Special Education","*","*","*","*","*"
"The Bridge Academy District","=""2690013""","Special Education","*","*","*","*","*"
"The Gilbert School District","=""9020022""","Non-Special Education",109,"*","*","*","*"
"The Gilbert School District","=""9020022""","Special Education",15,"*","*","*","*"
"The Woodstock Academy District","=""9030022""","Non-Special Education",292,"*","*","*","*"
"The Woodstock Academy District","=""9030022""","Special Education",24,"*","*","*","*"
"Thomaston School District","=""1400011""","Non-Special Education",57,0,0.0,"*","*"
"Thomaston School District","=""1400011""","Special Education",14,"*","*",0,"*"
"Thompson School District","=""1410011""","Non-Special Education",64,"*","*","*","*"
"Thompson School District","=""1410011""","Special Education",8,"*","*","*","*"
"Tolland School District","=""1420011""","Non-Special Education",175,0,0.0,0,0.0
"Tolland School District","=""1420011""","Special Education",24,"*","*","*","*"
"Torrington School District","=""1430011""","Non-Special Education",176,"*","*",15,8.5
"Torrington School District","=""1430011""","Special Education",57,"*","*",9,15.8
"Trumbull School District","=""1440011""","Non-Special Education",472,"*","*",0,0.0
"Trumbull School District","=""1440011""","Special Education",63,"*","*","*","*"
"Unified School District #1","=""3360015""","Non-Special Education",236,"*","*",231,97.9
"Unified School District #1","=""3360015""","Special Education",274,"*","*",229,83.6
"Unified School District #2","=""3470015""","Non-Special Education","*","*","*","*","*"
"Unified School District #2","=""3470015""","Special Education","*","*","*","*","*"
"Vernon School District","=""1460011""","Non-Special Education",172,"*","*",12,7.0
"Vernon School District","=""1460011""","Special Education",38,"*","*",10,26.3
"Wallingford School District","=""1480011""","Non-Special Education",390,"*","*",10,2.6
"Wallingford School District","=""1480011""","Special Education",72,"*","*",8,11.1
"Waterbury School District","=""1510011""","Non-Special Education",1007,13,1.3,111,11.0
"Waterbury School District","=""1510011""","Special Education",219,39,17.8,56,25.6
"Waterford School District","=""1520011""","Non-Special Education",168,"*","*","*","*"
"Waterford School District","=""1520011""","Special Education",33,"*","*","*","*"
"Watertown School District","=""1530011""","Non-Special Education",175,"*","*","*","*"
"Watertown School District","=""1530011""","Special Education",44,"*","*","*","*"
"West Hartford School District","=""1550011""","Non-Special Education",663,8,1.2,"*","*"
"West Hartford School District","=""1550011""","Special Education",112,26,23.2,"*","*"
"West Haven School District","=""1560011""","Non-Special Education",355,"*","*",40,11.3
"West Haven School District","=""1560011""","Special Education",89,"*","*",17,19.1
"Westbrook School District","=""1540011""","Non-Special Education",49,"*","*","*","*"
"Westbrook School District","=""1540011""","Special Education",12,"*","*",0,"*"
"Weston School District","=""1570011""","Non-Special Education",188,0,0.0,"*","*"
"Weston School District","=""1570011""","Special Education",22,"*","*",0,0.0
"Westport School District","=""1580011""","Non-Special Education",411,0,0.0,0,0.0
